board,r,c,path,pred,prob,top2,prob2,margin,low_conf,low_by_prob,low_by_margin
predict_4,1,1,demo_export\predict_4\cells\r1c1.png,0,1.0,2,4.3317675204168746e-17,1.0,0,0,0
predict_4,1,2,demo_export\predict_4\cells\r1c2.png,2,1.0,8,4.451927975573922e-12,0.9999999999955481,0,0,0
predict_4,1,3,demo_export\predict_4\cells\r1c3.png,8,1.0,6,9.757782960546219e-14,0.9999999999999024,0,0,0
predict_4,1,4,demo_export\predict_4\cells\r1c4.png,0,1.0,7,2.636703472232985e-20,1.0,0,0,0
predict_4,1,5,demo_export\predict_4\cells\r1c5.png,5,1.0,8,2.8335702277530543e-24,1.0,0,0,0
predict_4,1,6,demo_export\predict_4\cells\r1c6.png,0,1.0,2,4.7354237184088716e-18,1.0,0,0,0
predict_4,1,7,demo_export\predict_4\cells\r1c7.png,0,1.0,7,5.13304824772303e-16,0.9999999999999994,0,0,0
predict_4,1,8,demo_export\predict_4\cells\r1c8.png,0,1.0,7,2.6936616516620173e-16,0.9999999999999998,0,0,0
predict_4,1,9,demo_export\predict_4\cells\r1c9.png,0,1.0,7,4.570127803012094e-18,1.0,0,0,0
predict_4,2,1,demo_export\predict_4\cells\r2c1.png,7,1.0,2,1.0310092326867856e-27,1.0,0,0,0
predict_4,2,2,demo_export\predict_4\cells\r2c2.png,6,1.0,8,1.2781720397803814e-13,0.9999999999998722,0,0,0
predict_4,2,3,demo_export\predict_4\cells\r2c3.png,0,1.0,2,2.8867999536253502e-18,1.0,0,0,0
predict_4,2,4,demo_export\predict_4\cells\r2c4.png,0,1.0,7,1.3294516949868205e-16,0.9999999999999999,0,0,0
predict_4,2,5,demo_export\predict_4\cells\r2c5.png,0,1.0,2,8.510390160481192e-17,0.9999999999999999,0,0,0
predict_4,2,6,demo_export\predict_4\cells\r2c6.png,0,1.0,2,1.2542994908350708e-16,0.9999999999999999,0,0,0
predict_4,2,7,demo_export\predict_4\cells\r2c7.png,1,0.9099363684654236,7,0.09006360173225403,0.8198727667331696,0,0,0
predict_4,2,8,demo_export\predict_4\cells\r2c8.png,9,0.9999997615814209,5,2.0829351399243023e-07,0.9999995532879069,0,0,0
predict_4,2,9,demo_export\predict_4\cells\r2c9.png,0,1.0,7,3.123721645058248e-18,1.0,0,0,0
predict_4,3,1,demo_export\predict_4\cells\r3c1.png,1,0.9999995231628418,7,5.113174665893894e-07,0.9999990118453752,0,0,0
predict_4,3,2,demo_export\predict_4\cells\r3c2.png,0,1.0,2,1.2113902046254868e-15,0.9999999999999988,0,0,0
predict_4,3,3,demo_export\predict_4\cells\r3c3.png,0,1.0,2,5.383863703130093e-16,0.9999999999999994,0,0,0
predict_4,3,4,demo_export\predict_4\cells\r3c4.png,0,1.0,2,5.62985411476246e-17,0.9999999999999999,0,0,0
predict_4,3,5,demo_export\predict_4\cells\r3c5.png,7,1.0,2,1.8951201434126356e-30,1.0,0,0,0
predict_4,3,6,demo_export\predict_4\cells\r3c6.png,0,1.0,7,6.646424656197134e-19,1.0,0,0,0
predict_4,3,7,demo_export\predict_4\cells\r3c7.png,0,1.0,7,2.003752224244981e-17,1.0,0,0,0
predict_4,3,8,demo_export\predict_4\cells\r3c8.png,3,1.0,8,1.1274833538045363e-14,0.9999999999999887,0,0,0
predict_4,3,9,demo_export\predict_4\cells\r3c9.png,0,1.0,2,9.853407716775555e-18,1.0,0,0,0
predict_4,4,1,demo_export\predict_4\cells\r4c1.png,4,1.0,9,1.4249980926722028e-25,1.0,0,0,0
predict_4,4,2,demo_export\predict_4\cells\r4c2.png,0,1.0,2,1.2679995332456792e-18,1.0,0,0,0
predict_4,4,3,demo_export\predict_4\cells\r4c3.png,5,1.0,8,3.243047255497565e-23,1.0,0,0,0
predict_4,4,4,demo_export\predict_4\cells\r4c4.png,6,1.0,5,2.8008821526199004e-14,0.999999999999972,0,0,0
predict_4,4,5,demo_export\predict_4\cells\r4c5.png,0,1.0,7,2.4762476749435905e-18,1.0,0,0,0
predict_4,4,6,demo_export\predict_4\cells\r4c6.png,0,1.0,7,1.297282822944368e-17,1.0,0,0,0
predict_4,4,7,demo_export\predict_4\cells\r4c7.png,0,1.0,7,1.2463546023694892e-14,0.9999999999999876,0,0,0
predict_4,4,8,demo_export\predict_4\cells\r4c8.png,0,1.0,7,9.729185868285404e-17,0.9999999999999999,0,0,0
predict_4,4,9,demo_export\predict_4\cells\r4c9.png,0,1.0,7,7.216858849768935e-18,1.0,0,0,0
