board,r,c,path,pred,prob,top2,prob2,margin,low_conf,low_by_prob,low_by_margin
real_train_4,1,1,demo_export\real_train_4\cells\r1c1.png,0,1.0,1,5.533488485499944e-24,1.0,0,0,0
real_train_4,1,2,demo_export\real_train_4\cells\r1c2.png,0,1.0,1,2.0851157641735943e-24,1.0,0,0,0
real_train_4,1,3,demo_export\real_train_4\cells\r1c3.png,7,1.0,2,1.9596982295439856e-30,1.0,0,0,0
real_train_4,1,4,demo_export\real_train_4\cells\r1c4.png,0,1.0,1,3.7716260293958004e-24,1.0,0,0,0
real_train_4,1,5,demo_export\real_train_4\cells\r1c5.png,4,1.0,9,7.944719095209896e-27,1.0,0,0,0
real_train_4,1,6,demo_export\real_train_4\cells\r1c6.png,1,1.0,7,1.959202899734436e-32,1.0,0,0,0
real_train_4,1,7,demo_export\real_train_4\cells\r1c7.png,0,1.0,1,3.0763628789335828e-24,1.0,0,0,0
real_train_4,1,8,demo_export\real_train_4\cells\r1c8.png,9,1.0,8,8.51299554018046e-30,1.0,0,0,0
real_train_4,1,9,demo_export\real_train_4\cells\r1c9.png,0,1.0,1,8.66636378196175e-25,1.0,0,0,0
real_train_4,2,1,demo_export\real_train_4\cells\r2c1.png,6,1.0,8,2.211607243743068e-24,1.0,0,0,0
real_train_4,2,2,demo_export\real_train_4\cells\r2c2.png,1,1.0,7,3.156222644500224e-30,1.0,0,0,0
real_train_4,2,3,demo_export\real_train_4\cells\r2c3.png,0,1.0,1,1.3232786697675124e-24,1.0,0,0,0
real_train_4,2,4,demo_export\real_train_4\cells\r2c4.png,0,1.0,1,4.4563352070222925e-24,1.0,0,0,0
real_train_4,2,5,demo_export\real_train_4\cells\r2c5.png,0,1.0,1,1.4574845187367554e-24,1.0,0,0,0
real_train_4,2,6,demo_export\real_train_4\cells\r2c6.png,9,1.0,8,1.0996422717576177e-32,1.0,0,0,0
real_train_4,2,7,demo_export\real_train_4\cells\r2c7.png,8,1.0,3,2.1354831524653717e-24,1.0,0,0,0
real_train_4,2,8,demo_export\real_train_4\cells\r2c8.png,5,1.0,6,2.7618434443762864e-25,1.0,0,0,0
real_train_4,2,9,demo_export\real_train_4\cells\r2c9.png,0,1.0,1,9.192765733635073e-25,1.0,0,0,0
real_train_4,3,1,demo_export\real_train_4\cells\r3c1.png,0,1.0,1,8.093766530109136e-24,1.0,0,0,0
real_train_4,3,2,demo_export\real_train_4\cells\r3c2.png,2,1.0,9,4.0002225009691406e-20,1.0,0,0,0
real_train_4,3,3,demo_export\real_train_4\cells\r3c3.png,9,1.0,8,1.672982960338843e-34,1.0,0,0,0
real_train_4,3,4,demo_export\real_train_4\cells\r3c4.png,0,1.0,1,5.142866653339845e-24,1.0,0,0,0
real_train_4,3,5,demo_export\real_train_4\cells\r3c5.png,0,1.0,1,1.7043556794048896e-24,1.0,0,0,0
real_train_4,3,6,demo_export\real_train_4\cells\r3c6.png,5,1.0,6,6.920383131539508e-30,1.0,0,0,0
real_train_4,3,7,demo_export\real_train_4\cells\r3c7.png,1,1.0,7,3.614019201546608e-30,1.0,0,0,0
